"block"	"org_chr1"	"org_chr2"	"ks"	"kn"	"start1"	"stop1"	"gene1"	"start2"	"stop2"	"gene2"	"median"	"mean"	"count"	"total_genes"	"subGenome"
"1"	"#10f"	"a31607_1"	"b34889_5"	0.4098	0.0838	13830847	13831902	"Sobic.001G166200.1.v3.1"	18617764	18618771	"CDS:Zm00001d013724_T001"	0.25805	9.90559333333333	30	387	"sub2"
"2"	"#10f"	"a31607_1"	"b34889_5"	0.1904	0.0434	14027691	14025355	"Sobic.001G168600.1.v3.1"	18925660	18923266	"CDS:Zm00001d013737_T001"	0.25805	9.90559333333333	30	387	"sub2"
"3"	"#10f"	"a31607_1"	"b34889_5"	0.2558	0.0453	14239397	14241539	"Sobic.001G170500.1.v3.1"	19172009	19173938	"CDS:Zm00001d013746_T001"	0.25805	9.90559333333333	30	387	"sub2"
"4"	"#10f"	"a31607_1"	"b34889_5"	0.2495	0.0442	15155602	15158784	"Sobic.001G179000.2.v3.1"	19947220	19950426	"CDS:Zm00001d013780_T001"	0.25805	9.90559333333333	30	387	"sub2"
"5"	"#10f"	"a31607_1"	"b34889_5"	0.2603	0.0326	15161317	15159952	"Sobic.001G179100.1.v3.1"	19952538	19951173	"CDS:Zm00001d013781_T001"	0.25805	9.90559333333333	30	387	"sub2"
"6"	"#10f"	"a31607_1"	"b34889_5"	0.1869	0.0571	15035793	15035134	"Sobic.001G178500.1.v3.1"	19943579	19942900	"CDS:Zm00001d013779_T001"	0.25805	9.90559333333333	30	387	"sub2"
"7"	"#10f"	"a31607_1"	"b34889_5"	2.3339	0.4623	14718783	14726490	"Sobic.001G175100.1.v3.1"	19523014	19529281	"CDS:Zm00001d013757_T007"	0.25805	9.90559333333333	30	387	"sub2"
"8"	"#10f"	"a31607_1"	"b34889_5"	0.3147	0.0706	15173637	15174794	"Sobic.001G179300.1.v3.1"	20028246	20076977	"CDS:Zm00001d013783_T001"	0.25805	9.90559333333333	30	387	"sub2"
"9"	"#10f"	"a31607_1"	"b34889_5"	0.843	0.0659	13955237	13954344	"Sobic.001G167600.1.v3.1"	18856412	18855513	"CDS:Zm00001d013732_T001"	0.25805	9.90559333333333	30	387	"sub2"
"10"	"#10f"	"a31607_1"	"b34889_5"	92.0715	0.2968	13842037	13843279	"Sobic.001G166500.1.v3.1"	18632083	18633391	"CDS:Zm00001d013725_T002"	0.25805	9.90559333333333	30	387	"sub2"
"11"	"#10f"	"a31607_1"	"b34889_5"	2.1316	0.88	13815935	13809657	"Sobic.001G166100.1.v3.1"	18544954	18543126	"CDS:Zm00001d013722_T001"	0.25805	9.90559333333333	30	387	"sub2"
"12"	"#10f"	"a31607_1"	"b34889_5"	0.4017	0.0972	14155275	14156069	"Sobic.001G169700.1.v3.1"	19054731	19055414	"CDS:Zm00001d013743_T001"	0.25805	9.90559333333333	30	387	"sub2"
"13"	"#10f"	"a31607_1"	"b34889_5"	0.3545	0.0213	14551635	14553768	"Sobic.001G173300.1.v3.1"	19237399	19239649	"CDS:Zm00001d013751_T001"	0.25805	9.90559333333333	30	387	"sub2"
"14"	"#10f"	"a31607_1"	"b34889_5"	0.1405	1e-04	14486623	14490515	"Sobic.001G172800.1.v3.1"	19222731	19225205	"CDS:Zm00001d013750_T001"	0.25805	9.90559333333333	30	387	"sub2"
"15"	"#10f"	"a31607_1"	"b34889_5"	0.216	0.0292	14324579	14323209	"Sobic.001G171500.1.v3.1"	19179668	19178319	"CDS:Zm00001d013747_T001"	0.25805	9.90559333333333	30	387	"sub2"
"16"	"#10f"	"a31607_1"	"b34889_5"	0.1334	0.0663	14161779	14160405	"Sobic.001G169800.2.v3.1"	19096348	19094699	"CDS:Zm00001d013744_T001"	0.25805	9.90559333333333	30	387	"sub2"
"17"	"#10f"	"a31607_1"	"b34889_5"	0.2128	0.1076	14561349	14563315	"Sobic.001G173500.1.v3.1"	19468838	19466745	"CDS:Zm00001d013755_T001"	0.25805	9.90559333333333	30	387	"sub2"
"18"	"#10f"	"a31607_1"	"b34889_5"	64.916	1.2973	14986479	14984605	"Sobic.001G177800.1.v3.1"	19930072	19923773	"CDS:Zm00001d013777_T001"	0.25805	9.90559333333333	30	387	"sub2"
"19"	"#10f"	"a31607_1"	"b34889_5"	0.1928	0.0304	13943376	13948220	"Sobic.001G167500.1.v3.1"	18815368	18826806	"CDS:Zm00001d013730_T001"	0.25805	9.90559333333333	30	387	"sub2"
"20"	"#10f"	"a31607_1"	"b34889_5"	0.1968	0.0565	14784656	14780713	"Sobic.001G176200.1.v3.1"	19664149	19660397	"CDS:Zm00001d013765_T002"	0.25805	9.90559333333333	30	387	"sub2"
"21"	"#10f"	"a31607_1"	"b34889_5"	0.3699	0.0918	13890985	13892481	"Sobic.001G166800.1.v3.1"	18756955	18755410	"CDS:Zm00001d013728_T001"	0.25805	9.90559333333333	30	387	"sub2"
"22"	"#10f"	"a31607_1"	"b34889_5"	122.123	0.9448	14893433	14892551	"Sobic.001G177000.1.v3.1"	19723231	19722698	"CDS:Zm00001d013766_T001"	0.25805	9.90559333333333	30	387	"sub2"
"23"	"#10f"	"a31607_1"	"b34889_5"	0.186	0.0371	14057538	14061274	"Sobic.001G168800.1.v3.1"	19009987	19013916	"CDS:Zm00001d013741_T001"	0.25805	9.90559333333333	30	387	"sub2"
"24"	"#10f"	"a31607_1"	"b34889_5"	0.1409	0.0303	14185765	14179962	"Sobic.001G169900.1.v3.1"	19105942	19099963	"CDS:Zm00001d013745_T001"	0.25805	9.90559333333333	30	387	"sub2"
"25"	"#10f"	"a31607_1"	"b34889_5"	0.3938	0.0105	14732907	14734216	"Sobic.001G175300.1.v3.1"	19598795	19600363	"CDS:Zm00001d013758_T002"	0.25805	9.90559333333333	30	387	"sub2"
"26"	"#10f"	"a31607_1"	"b34889_5"	0.2218	0.0101	14075125	14076435	"Sobic.001G169100.3.v3.1"	19016882	19018192	"CDS:Zm00001d013742_T001"	0.25805	9.90559333333333	30	387	"sub2"
"27"	"#10f"	"a31607_1"	"b34889_5"	0.2632	0.1379	14926931	14921489	"Sobic.001G177300.3.v3.1"	19740825	19733484	"CDS:Zm00001d013768_T002"	0.25805	9.90559333333333	30	387	"sub2"
"28"	"#10f"	"a31607_1"	"b34889_5"	0.1327	0.0312	13924178	13918525	"Sobic.001G167200.1.v3.1"	18766932	18759035	"CDS:Zm00001d013729_T001"	0.25805	9.90559333333333	30	387	"sub2"
"29"	"#10f"	"a31607_1"	"b34889_5"	0.1608	0.0097	14018351	14020484	"Sobic.001G168400.1.v3.1"	18919102	18921215	"CDS:Zm00001d013736_T001"	0.25805	9.90559333333333	30	387	"sub2"
"30"	"#10f"	"a31607_1"	"b34889_5"	7.1638	1.3276	15023025	15016117	"Sobic.001G178300.1.v3.1"	19930243	19938598	"CDS:Zm00001d013778_T001"	0.25805	9.90559333333333	30	387	"sub2"
"31"	"#10f"	"a31607_2"	"b34889_2"	0.2973	0.065	67548245	67554707	"Sobic.002G299300.1.v3.1"	205436368	205439521	"CDS:Zm00001d006353_T001"	0.22575	0.270410714285714	28	472	"sub2"
"32"	"#10f"	"a31607_2"	"b34889_2"	0.1924	0.0842	67579812	67591840	"Sobic.002G299700.1.v3.1"	205658415	205671973	"CDS:Zm00001d006357_T001"	0.22575	0.270410714285714	28	472	"sub2"
"33"	"#10f"	"a31607_2"	"b34889_2"	0.1663	0.015	67645210	67644347	"Sobic.002G300300.2.v3.1"	205705283	205704420	"CDS:Zm00001d006361_T001"	0.22575	0.270410714285714	28	472	"sub2"
"34"	"#10f"	"a31607_2"	"b34889_2"	0.1163	0.0518	67575155	67571377	"Sobic.002G299600.1.v3.1"	205471649	205467651	"CDS:Zm00001d006355_T004"	0.22575	0.270410714285714	28	472	"sub2"
"35"	"#10f"	"a31607_2"	"b34889_2"	0.3253	0.0936	67269406	67268160	"Sobic.002G295300.1.v3.1"	204906168	204904862	"CDS:Zm00001d006332_T001"	0.22575	0.270410714285714	28	472	"sub2"
"36"	"#10f"	"a31607_2"	"b34889_2"	0.9755	0.1994	67621265	67619318	"Sobic.002G300000.2.v3.1"	205699796	205697925	"CDS:Zm00001d006360_T001"	0.22575	0.270410714285714	28	472	"sub2"
"37"	"#10f"	"a31607_2"	"b34889_2"	0.3074	0.0339	67167626	67165890	"Sobic.002G293800.1.v3.1"	204613191	204611895	"CDS:Zm00001d006324_T001"	0.22575	0.270410714285714	28	472	"sub2"
"38"	"#10f"	"a31607_2"	"b34889_2"	0.2666	0.0427	67170017	67169125	"Sobic.002G293900.1.v3.1"	204615668	204614791	"CDS:Zm00001d006324_T002"	0.22575	0.270410714285714	28	472	"sub2"
