"block"	"org_chr1"	"org_chr2"	"ks"	"kn"	"start1"	"stop1"	"gene1"	"start2"	"stop2"	"gene2"	"median"	"mean"	"count"	"total_genes"	"subGenome"
"1"	"#11r"	"a6807_3"	"b8082_8"	0.3336	0.0478	51953649	51952711	"Sb03g025840"	137791188	137792123	"GRMZM2G096655"	0.1794	4.4529	15	241	"sub2"
"2"	"#11r"	"a6807_3"	"b8082_8"	0.1662	0.0161	51718870	51721287	"Sb03g025740"	138282723	138280542	"GRMZM2G420119"	0.1794	4.4529	15	241	"sub2"
"3"	"#11r"	"a6807_3"	"b8082_8"	0.1886	0.0201	51740630	51742538	"Sb03g025760"	138175370	138177036	"GRMZM2G114895"	0.1794	4.4529	15	241	"sub2"
"4"	"#11r"	"a6807_3"	"b8082_8"	0.1618	0.014	51938778	51944732	"Sb03g025820"	137836895	137829972	"GRMZM2G096764"	0.1794	4.4529	15	241	"sub2"
"5"	"#11r"	"a6807_3"	"b8082_8"	0.1039	0.0395	51874343	51869939	"Sb03g025800"	137972974	137985372	"GRMZM2G050553"	0.1794	4.4529	15	241	"sub2"
"6"	"#11r"	"a6807_3"	"b8082_8"	0.1545	0.0665	52523661	52519165	"Sb03g026120"	137243446	137248165	"GRMZM2G136765"	0.1794	4.4529	15	241	"sub2"
"7"	"#11r"	"a6807_3"	"b8082_8"	0.0984	0.0254	52688999	52692873	"Sb03g026180"	137210054	137205946	"GRMZM2G106479"	0.1794	4.4529	15	241	"sub2"
"8"	"#11r"	"a6807_3"	"b8082_8"	0.8114	0.0712	51691556	51689713	"Sb03g025730"	138399268	138401073	"GRMZM2G054900"	0.1794	4.4529	15	241	"sub2"
"9"	"#11r"	"a6807_3"	"b8082_8"	0.1794	0.0681	52203001	52205021	"Sb03g025940"	137475791	137480971	"GRMZM2G116083"	0.1794	4.4529	15	241	"sub2"
"10"	"#11r"	"a6807_3"	"b8082_8"	0.3995	0.0826	52465849	52468536	"Sb03g026090"	137346192	137343931	"GRMZM2G170628"	0.1794	4.4529	15	241	"sub2"
