block	ks	kn	org_chr1	start1	stop1	gene1	org_chr2	start2	stop2	gene2
#1f	0.1810	0.0771	a31607_1	12334446	12338998	Sobic.001G153400.1.v3.1	b34889_1	254163281	254168447	CDS:Zm00001d033204_T001
#1f	0.2578	0.0479	a31607_1	12340049	12341119	Sobic.001G153500.1.v3.1	b34889_1	254169868	254170908	CDS:Zm00001d033205_T001
#1f	0.1311	0.0983	a31607_1	12347322	12352661	Sobic.001G153600.1.v3.1	b34889_1	254172899	254178002	CDS:Zm00001d033206_T001
#1f	80.5987	0.2456	a31607_1	12369136	12368636	Sobic.001G153900.1.v3.1	b34889_1	254179630	254179160	CDS:Zm00001d033207_T001
#1f	0.7266	0.0635	a31607_1	12369875	12370342	Sobic.001G154000.1.v3.1	b34889_1	254193528	254194023	CDS:Zm00001d033209_T001
#1f	0.1286	0.0054	a31607_1	12374475	12370848	Sobic.001G154100.1.v3.1	b34889_1	254197246	254194483	CDS:Zm00001d033210_T001
#1f	0.1030	0.0419	a31607_1	12381107	12386664	Sobic.001G154200.3.v3.1	b34889_1	254288387	254302304	CDS:Zm00001d033211_T001
#1f	0.2267	0.0145	a31607_1	12394277	12395362	Sobic.001G154300.4.v3.1	b34889_1	254394280	254395362	CDS:Zm00001d033213_T001
#1f	0.2560	0.0228	a31607_1	12399119	12403683	Sobic.001G154400.1.v3.1	b34889_1	254400165	254402510	CDS:Zm00001d033214_T001
#1f	0.1513	0.0484	a31607_1	12412771	12416040	Sobic.001G154500.1.v3.1	b34889_1	254417436	254420417	CDS:Zm00001d033215_T001
#1f	0.1197	0.0960	a31607_1	12419207	12418419	Sobic.001G154600.1.v3.1	b34889_1	254429955	254429293	CDS:Zm00001d033216_T001
#1f	0.1146	0.0113	a31607_1	12438079	12446656	Sobic.001G154900.1.v3.1	b34889_1	254528506	254542667	CDS:Zm00001d033217_T002
#1f	0.1177	0.0092	a31607_1	12456309	12448630	Sobic.001G155000.1.v3.1	b34889_1	254678372	254669950	CDS:Zm00001d033218_T002
#1f	0.1801	0.0347	a31607_1	12545405	12546670	Sobic.001G155200.1.v3.1	b34889_1	254991301	254992551	CDS:Zm00001d033221_T001
#1f	0.4225	0.0178	a31607_1	12563230	12561395	Sobic.001G155300.1.v3.1	b34889_1	255023321	255021507	CDS:Zm00001d033222_T001
#1f	0.1591	0.0432	a31607_1	12586392	12591780	Sobic.001G155400.1.v3.1	b34889_1	255087645	255092970	CDS:Zm00001d033223_T003
#1f	0.2882	0.0243	a31607_1	12595412	12592616	Sobic.001G155500.1.v3.1	b34889_1	255173065	255170745	CDS:Zm00001d033225_T001
#1f	0.3960	0.0680	a31607_1	12634702	12635199	Sobic.001G156200.1.v3.1	b34889_1	255210840	255210376	CDS:Zm00001d033227_T001
#1f	0.6756	0.1935	a31607_1	12641948	12638863	Sobic.001G156300.2.v3.1	b34889_1	255280256	255276922	CDS:Zm00001d033232_T001
#1f	1.7889	0.4049	a31607_1	12671543	12669129	Sobic.001G156600.1.v3.1	b34889_1	255391452	255361226	CDS:Zm00001d033237_T001
#1f	0.1651	0.0188	a31607_1	12697423	12701707	Sobic.001G157100.1.v3.1	b34889_1	255510605	255514862	CDS:Zm00001d033240_T001
#1f	0.3505	0.0275	a31607_1	12708874	12712876	Sobic.001G157200.1.v3.1	b34889_1	255565519	255569095	CDS:Zm00001d033241_T001
#1f	0.1114	0.0157	a31607_1	12714295	12724042	Sobic.001G157300.1.v3.1	b34889_1	255748961	255757144	CDS:Zm00001d033244_T001
#1f	0.1369	0.0033	a31607_1	12747473	12752753	Sobic.001G157400.1.v3.1	b34889_1	255864691	255869733	CDS:Zm00001d033246_T001
#1f	0.1628	0.0135	a31607_1	12769328	12777092	Sobic.001G157600.1.v3.1	b34889_1	255988696	256002872	CDS:Zm00001d033247_T001
#1f	0.7035	0.0747	a31607_1	12781002	12782387	Sobic.001G157700.1.v3.1	b34889_1	256171143	256169812	CDS:Zm00001d033256_T001
#1f	0.3052	0.0802	a31607_1	12821144	12822229	Sobic.001G158100.2.v3.1	b34889_1	256312163	256313242	CDS:Zm00001d033258_T001
#1f	0.0996	0.0128	a31607_1	12846933	12840717	Sobic.001G158400.1.v3.1	b34889_1	256326240	256315454	CDS:Zm00001d033259_T001
#1f	0.0951	0.0291	a31607_1	12850468	12853199	Sobic.001G158500.1.v3.1	b34889_1	256420827	256424369	CDS:Zm00001d033262_T001
#1f	0.7798	0.0634	a31607_1	12863332	12865003	Sobic.001G158600.2.v3.1	b34889_1	256498618	256500666	CDS:Zm00001d033265_T001
#1f	0.4866	0.1837	a31607_1	12913180	12919495	Sobic.001G158700.1.v3.1	b34889_1	256557640	256566063	CDS:Zm00001d033266_T001
#1f	0.5458	0.1057	a31607_1	12934275	12928593	Sobic.001G158900.1.v3.1	b34889_1	256577965	256575051	CDS:Zm00001d033267_T001
#1f	0.2827	0.1042	a31607_1	12959583	12958870	Sobic.001G159100.1.v3.1	b34889_1	256729641	256729036	CDS:Zm00001d033268_T001
#1f	0.4321	0.0663	a31607_1	12996945	12997920	Sobic.001G159300.1.v3.1	b34889_1	256837653	256838646	CDS:Zm00001d033271_T001
#1f	0.1130	0.1143	a31607_1	13020777	13027095	Sobic.001G159500.1.v3.1	b34889_1	257022452	257013871	CDS:Zm00001d033274_T005
#1f	0.1533	0.0286	a31607_1	13060602	13068531	Sobic.001G159800.1.v3.1	b34889_1	257225425	257231770	CDS:Zm00001d033278_T002
#1f	0.1491	0.0200	a31607_1	13075024	13076199	Sobic.001G159900.1.v3.1	b34889_1	257310330	257311502	CDS:Zm00001d033279_T001
#1f	0.4235	0.0391	a31607_1	13102946	13101204	Sobic.001G160100.1.v3.1	b34889_1	257337480	257335780	CDS:Zm00001d033280_T001
#1f	0.5185	0.0220	a31607_1	13149998	13155415	Sobic.001G160200.1.v3.1	b34889_1	257400720	257406257	CDS:Zm00001d033283_T001
#1f	0.5122	0.1182	a31607_1	13227676	13231655	Sobic.001G160800.1.v3.1	b34889_1	257411752	257409890	CDS:Zm00001d033284_T001
#1f	0.6228	0.5767	a31607_1	13238575	13241777	Sobic.001G161000.1.v3.1	b34889_1	257636640	257639273	CDS:Zm00001d033287_T001
#1f	0.3031	0.0261	a31607_1	13242832	13244397	Sobic.001G161100.1.v3.1	b34889_1	257651281	257652855	CDS:Zm00001d033288_T001
#1f	0.3371	0.0700	a31607_1	13343786	13346165	Sobic.001G162000.1.v3.1	b34889_1	257755158	257757865	CDS:Zm00001d033291_T001
#1f	0.2939	0.0306	a31607_1	13350079	13351866	Sobic.001G162100.1.v3.1	b34889_1	257764410	257766240	CDS:Zm00001d033291_T004
#1f	0.4286	0.0557	a31607_1	13364366	13356120	Sobic.001G162200.1.v3.1	b34889_1	257772184	257767947	CDS:Zm00001d033292_T004
#1f	0.4332	0.0423	a31607_1	13394449	13402036	Sobic.001G162400.1.v3.1	b34889_1	257976345	257981026	CDS:Zm00001d033296_T002
#1f	0.1115	0.0244	a31607_1	13409148	13404760	Sobic.001G162500.1.v3.1	b34889_1	258046178	258038488	CDS:Zm00001d033297_T003
#1f	17.7886	1.5079	a31607_1	13411174	13411663	Sobic.001G162600.1.v3.1	b34889_1	258048222	258048704	Zm00001d033298_T001
#1f	0.7346	0.0401	a31607_1	13416206	13414456	Sobic.001G162700.1.v3.1	b34889_1	258065392	258063437	CDS:Zm00001d033300_T001
#1f	70.9748	1.2951	a31607_1	13423897	13423727	Sobic.001G162800.1.v3.1	b34889_1	258070037	258066814	CDS:Zm00001d033301_T001
#1f	0.1127	0.0054	a31607_1	13455531	13466703	Sobic.001G163400.1.v3.1	b34889_1	258164372	258177219	CDS:Zm00001d033303_T002
#1f	0.2869	0.0392	a31607_1	13473279	13471783	Sobic.001G163600.1.v3.1	b34889_1	258183826	258182381	CDS:Zm00001d033304_T001
#1f	0.6032	0.0640	a31607_1	13535758	13533890	Sobic.001G163800.1.v3.1	b34889_1	258345338	258346401	CDS:Zm00001d033308_T001
#1f	0.3292	0.1141	a31607_1	13603433	13592822	Sobic.001G164500.1.v3.1	b34889_1	258524761	258516164	CDS:Zm00001d033310_T001
#1f	0.3153	0.0843	a31607_1	13617562	13617935	Sobic.001G164700.1.v3.1	b34889_1	258659016	258661911	CDS:Zm00001d033312_T005
#1f	94.0984	0.6572	a31607_1	13667955	13666441	Sobic.001G164900.1.v3.1	b34889_1	258891655	258889576	CDS:Zm00001d033320_T001
#2f	0.1459	0.0089	a31607_1	17628755	17632742	Sobic.001G196100.1.v3.1	b34889_1	227580202	227583279	CDS:Zm00001d032465_T002
#2f	127.7182	0.8775	a31607_1	17685410	17689711	Sobic.001G196300.1.v3.1	b34889_1	227648398	227649464	CDS:Zm00001d032467_T001
#2f	0.2060	0.0209	a31607_1	17707622	17711382	Sobic.001G196400.1.v3.1	b34889_1	227680214	227684332	CDS:Zm00001d032469_T001
#2f	66.2771	1.3815	a31607_1	17723971	17712291	Sobic.001G196500.2.v3.1	b34889_1	227715263	227702377	CDS:Zm00001d032471_T001
#2f	0.1422	0.0208	a31607_1	17744963	17740020	Sobic.001G196700.1.v3.1	b34889_1	227862042	227854432	CDS:Zm00001d032472_T001
#2f	0.1703	0.0202	a31607_1	17761739	17766378	Sobic.001G196800.1.v3.1	b34889_1	227870996	227875838	CDS:Zm00001d032473_T001
#2f	0.4012	0.0369	a31607_1	17796947	17797357	Sobic.001G196900.1.v3.1	b34889_1	227990837	227991226	CDS:Zm00001d032475_T001
#2f	1.1302	0.3147	a31607_1	17804820	17802034	Sobic.001G197000.1.v3.1	b34889_1	227996895	227994621	CDS:Zm00001d032476_T001
#2f	0.2091	0.0327	a31607_1	17808863	17810026	Sobic.001G197100.1.v3.1	b34889_1	228035780	228036940	CDS:Zm00001d032478_T001
#2f	0.3349	0.1051	a31607_1	17812645	17811406	Sobic.001G197200.2.v3.1	b34889_1	228039122	228038295	CDS:Zm00001d032479_T001
#2f	0.1513	0.0013	a31607_1	17826432	17824818	Sobic.001G197400.1.v3.1	b34889_1	228065004	228063403	CDS:Zm00001d032480_T001
#2f	0.2965	0.0260	a31607_1	17863980	17864315	Sobic.001G198000.1.v3.1	b34889_1	228120902	228121240	CDS:Zm00001d032481_T001
#2f	0.1870	0.0307	a31607_1	17909257	17907766	Sobic.001G198200.1.v3.1	b34889_1	228143644	228142423	CDS:Zm00001d032485_T001
#2f	0.1468	0.1572	a31607_1	17932212	17933715	Sobic.001G198500.1.v3.1	b34889_1	228332273	228333693	CDS:Zm00001d032492_T001
#2f	0.1474	0.1123	a31607_1	17935941	17936408	Sobic.001G198600.1.v3.1	b34889_1	228402042	228402482	CDS:Zm00001d032494_T001
#2f	1.7129	0.1922	a31607_1	17941516	17942235	Sobic.001G198700.1.v3.1	b34889_1	228404754	228405413	CDS:Zm00001d032495_T001
#2f	7.0161	1.6496	a31607_1	17963570	17960802	Sobic.001G198900.1.v3.1	b34889_1	228409222	228406360	CDS:Zm00001d032496_T001
#2f	61.3446	1.3707	a31607_1	17963736	17973925	Sobic.001G199000.1.v3.1	b34889_1	228418762	228431630	CDS:Zm00001d032498_T001
#2f	0.1587	0.0585	a31607_1	17989274	17977413	Sobic.001G199100.2.v3.1	b34889_1	228446690	228443001	CDS:Zm00001d032500_T001
#2f	0.2928	0.0499	a31607_1	18035139	18038982	Sobic.001G199200.1.v3.1	b34889_1	228680870	228685135	CDS:Zm00001d032502_T001
#2f	0.3172	0.0347	a31607_1	18044391	18042973	Sobic.001G199300.1.v3.1	b34889_1	228690393	228688981	CDS:Zm00001d032503_T001
#2f	0.4787	0.0372	a31607_1	18055220	18050143	Sobic.001G199400.1.v3.1	b34889_1	228759565	228757192	CDS:Zm00001d032504_T001
#2f	0.1147	0.0363	a31607_1	18056897	18063990	Sobic.001G199500.1.v3.1	b34889_1	228773838	228781820	CDS:Zm00001d032505_T001
#2f	0.6380	0.0882	a31607_1	18074866	18075474	Sobic.001G199632.1.v3.1	b34889_1	228786092	228786433	CDS:Zm00001d032506_T001
#2f	0.1486	0.0470	a31607_1	18104445	18107235	Sobic.001G199800.1.v3.1	b34889_1	228905904	228912125	CDS:Zm00001d032507_T001
#2f	0.2625	0.0261	a31607_1	18110279	18109453	Sobic.001G199900.1.v3.1	b34889_1	228919743	228918913	CDS:Zm00001d032508_T001
#2f	1.2977	0.3724	a31607_1	18116409	18112311	Sobic.001G200000.1.v3.1	b34889_1	229004582	229000799	CDS:Zm00001d032510_T001
#2f	0.1613	0.0615	a31607_1	18135769	18141919	Sobic.001G200200.1.v3.1	b34889_1	229137340	229141730	CDS:Zm00001d032516_T001
#2f	0.1483	0.0040	a31607_1	18163805	18164894	Sobic.001G200500.1.v3.1	b34889_1	229147729	229148958	CDS:Zm00001d032517_T001
#2f	0.1218	0.0481	a31607_1	18167486	18165972	Sobic.001G200600.1.v3.1	b34889_1	229151756	229150242	CDS:Zm00001d032518_T001
#2f	0.4866	0.0745	a31607_1	18172985	18170619	Sobic.001G200700.1.v3.1	b34889_1	229235906	229233718	CDS:Zm00001d032519_T001
#2f	0.1285	0.0298	a31607_1	18203413	18198930	Sobic.001G201000.1.v3.1	b34889_1	229243309	229238757	CDS:Zm00001d032520_T001
#2f	0.0680	0.0279	a31607_1	18226969	18229914	Sobic.001G201100.1.v3.1	b34889_1	229313073	229325100	CDS:Zm00001d032521_T001
#2f	0.4889	0.1052	a31607_1	18235508	18235248	Sobic.001G201200.1.v3.1	b34889_1	229342749	229342489	CDS:Zm00001d032522_T001
#2f	0.1578	0.0225	a31607_1	18292821	18297385	Sobic.001G201500.1.v3.1	b34889_1	229501798	229506133	CDS:Zm00001d032526_T002
#2f	0.6057	0.2226	a31607_1	18298342	18302205	Sobic.001G201601.1.v3.1	b34889_1	229508664	229511044	CDS:Zm00001d032526_T010
#2f	0.4342	0.0260	a31607_1	18315741	18314235	Sobic.001G201800.1.v3.1	b34889_1	229517836	229516282	CDS:Zm00001d032527_T001
#2f	0.1050	0.0579	a31607_1	18351308	18357968	Sobic.001G201900.1.v3.1	b34889_1	229632735	229639473	CDS:Zm00001d032529_T004
#2f	0.3377	0.1248	a31607_1	18403176	18404616	Sobic.001G202266.1.v3.1	b34889_1	229722897	229725261	CDS:Zm00001d032530_T001
#2f	1.7301	0.2733	a31607_1	18412402	18414744	Sobic.001G202400.1.v3.1	b34889_1	229758915	229765009	CDS:Zm00001d032531_T001
#2f	0.2061	0.0242	a31607_1	18427985	18430640	Sobic.001G202600.1.v3.1	b34889_1	229809830	229812365	CDS:Zm00001d032532_T001
#2f	0.3361	0.0446	a31607_1	18443693	18443412	Sobic.001G202900.1.v3.1	b34889_1	229830054	229829797	CDS:Zm00001d032533_T001
#2f	0.3625	0.0549	a31607_1	18448833	18447600	Sobic.001G203100.1.v3.1	b34889_1	229849389	229848160	CDS:Zm00001d032535_T002
#2f	0.4386	0.0279	a31607_1	18477375	18474458	Sobic.001G203200.1.v3.1	b34889_1	229868010	229865004	CDS:Zm00001d032536_T001
#2f	0.1146	0.0280	a31607_1	18514612	18510420	Sobic.001G203400.1.v3.1	b34889_1	229911303	229906932	CDS:Zm00001d032539_T001
#2f	0.1867	0.0645	a31607_1	18536160	18534507	Sobic.001G203500.1.v3.1	b34889_1	230040014	230038327	CDS:Zm00001d032543_T001
#2f	0.3483	0.0620	a31607_1	18562679	18566508	Sobic.001G203700.1.v3.1	b34889_1	230120439	230123705	CDS:Zm00001d032545_T001
#2f	0.1634	0.0326	a31607_1	18594275	18589546	Sobic.001G203900.1.v3.1	b34889_1	230139179	230134685	CDS:Zm00001d032546_T001
#2f	0.1972	0.0413	a31607_1	18597969	18596063	Sobic.001G204000.1.v3.1	b34889_1	230143707	230141774	CDS:Zm00001d032547_T004
#2f	NA	NA	a31607_1	18614147	18614752	Sobic.001G204200.1.v3.1	b34889_1	230203050	230203641	CDS:Zm00001d032548_T001
#2f	0.1529	0.0131	a31607_1	18620066	18617604	Sobic.001G204300.1.v3.1	b34889_1	230211063	230208070	CDS:Zm00001d032550_T001
#2f	1.1225	0.4536	a31607_1	18663125	18660359	Sobic.001G204501.1.v3.1	b34889_1	230243807	230239312	CDS:Zm00001d032552_T001
#3f	0.5183	0.1764	a31607_1	11608388	11610314	Sobic.001G144900.1.v3.1	b34889_1	262991932	262994069	CDS:Zm00001d033447_T003
#3f	0.1690	0.0240	a31607_1	11616462	11611822	Sobic.001G145000.1.v3.1	b34889_1	263003889	262998568	CDS:Zm00001d033448_T002
#3f	0.2438	0.0101	a31607_1	11628703	11625641	Sobic.001G145200.1.v3.1	b34889_1	263015409	263012309	CDS:Zm00001d033451_T001
#3f	0.2279	0.0627	a31607_1	11658310	11662961	Sobic.001G145500.1.v3.1	b34889_1	263068373	263072723	CDS:Zm00001d033454_T001
#3f	0.4282	0.0351	a31607_1	11674532	11673837	Sobic.001G145700.1.v3.1	b34889_1	263076369	263077061	CDS:Zm00001d033455_T001
#3f	0.3047	0.1162	a31607_1	11687356	11686076	Sobic.001G145900.1.v3.1	b34889_1	263160067	263158766	CDS:Zm00001d033456_T001
#3f	0.3356	0.0042	a31607_1	11710181	11706828	Sobic.001G146000.1.v3.1	b34889_1	263194703	263191310	CDS:Zm00001d033457_T001
#3f	0.4691	0.0336	a31607_1	11752816	11754209	Sobic.001G146100.1.v3.1	b34889_1	263295121	263296404	CDS:Zm00001d033459_T001
#3f	6.4392	0.3790	a31607_1	11756563	11756219	Sobic.001G146200.1.v3.1	b34889_1	263334816	263334484	CDS:Zm00001d033462_T001
#3f	0.2117	0.0299	a31607_1	11811091	11813889	Sobic.001G146900.1.v3.1	b34889_1	263445530	263448068	CDS:Zm00001d033465_T001
#3f	0.5169	0.0749	a31607_1	11816993	11814898	Sobic.001G147000.1.v3.1	b34889_1	263450323	263448860	CDS:Zm00001d033466_T001
#3f	0.1919	0.0896	a31607_1	11828991	11832903	Sobic.001G147200.1.v3.1	b34889_1	263510493	263517824	CDS:Zm00001d033467_T001
#3f	0.3517	0.0566	a31607_1	11834330	11836769	Sobic.001G147300.2.v3.1	b34889_1	263520118	263524103	CDS:Zm00001d033468_T001
#3f	0.2605	0.0434	a31607_1	11837662	11837213	Sobic.001G147400.1.v3.1	b34889_1	263525313	263524861	CDS:Zm00001d033469_T001
#3f	1.5364	0.5741	a31607_1	11850505	11861851	Sobic.001G147500.1.v3.1	b34889_1	263586494	263588740	CDS:Zm00001d033470_T001
#3f	0.2591	0.0800	a31607_1	11929367	11930642	Sobic.001G148000.1.v3.1	b34889_1	263620719	263621460	CDS:Zm00001d033471_T001
#3f	0.2019	0.0264	a31607_1	11934423	11932099	Sobic.001G148101.1.v3.1	b34889_1	263627410	263623163	CDS:Zm00001d033472_T001
#3f	0.2045	0.1087	a31607_1	11942387	11939107	Sobic.001G148200.1.v3.1	b34889_1	263682601	263677454	CDS:Zm00001d033473_T001
#3f	0.3309	0.0420	a31607_1	11956032	11954311	Sobic.001G148400.1.v3.1	b34889_1	263689455	263687686	CDS:Zm00001d033475_T001
#3f	0.1873	0.0341	a31607_1	11961873	11964546	Sobic.001G148500.1.v3.1	b34889_1	263847552	263852942	CDS:Zm00001d033477_T001
#3f	0.4422	0.1341	a31607_1	11966359	11967344	Sobic.001G148600.1.v3.1	b34889_1	263854042	263854993	CDS:Zm00001d033478_T001
#3f	0.3633	0.0335	a31607_1	11968641	11968934	Sobic.001G148700.1.v3.1	b34889_1	263880369	263880629	CDS:Zm00001d033479_T001
#3f	0.1557	0.0060	a31607_1	11977047	11973094	Sobic.001G148900.2.v3.1	b34889_1	263886664	263882729	CDS:Zm00001d033480_T002
#3f	0.5680	0.2912	a31607_1	11987531	11982149	Sobic.001G149000.2.v3.1	b34889_1	263893516	263890476	CDS:Zm00001d033481_T001
#3f	0.2639	0.0213	a31607_1	12004444	12002771	Sobic.001G149400.1.v3.1	b34889_1	263945982	263944327	CDS:Zm00001d033482_T001
#3f	1.4579	0.0194	a31607_1	12014614	12014309	Sobic.001G149500.1.v3.1	b34889_1	263981944	263981642	CDS:Zm00001d033483_T001
#3f	0.0881	0.0436	a31607_1	12021097	12019022	Sobic.001G149600.2.v3.1	b34889_1	263986796	263984757	CDS:Zm00001d033484_T001
#3f	0.1990	0.0123	a31607_1	12023425	12026619	Sobic.001G149700.1.v3.1	b34889_1	264051356	264054144	CDS:Zm00001d033488_T001
#3f	3.1913	0.5521	a31607_1	12069854	12072647	Sobic.001G150300.1.v3.1	b34889_1	264058733	264060155	CDS:Zm00001d033489_T001
#3f	0.1350	0.0499	a31607_1	12106333	12111489	Sobic.001G150800.1.v3.1	b34889_1	264208670	264214243	CDS:Zm00001d033492_T005
#3f	0.1145	0.0288	a31607_1	12121172	12125525	Sobic.001G151000.1.v3.1	b34889_1	264224469	264230469	CDS:Zm00001d033493_T001
#3f	0.1075	0.0285	a31607_1	12128778	12138653	Sobic.001G151100.1.v3.1	b34889_1	264384497	264407010	CDS:Zm00001d033494_T002
#3f	0.1753	0.0429	a31607_1	12151813	12153759	Sobic.001G151300.1.v3.1	b34889_1	264456840	264458783	CDS:Zm00001d033495_T001
#3f	0.3439	0.0337	a31607_1	12160347	12159256	Sobic.001G151400.1.v3.1	b34889_1	264463150	264462071	CDS:Zm00001d033496_T001
#3f	0.1262	0.0296	a31607_1	12169331	12172919	Sobic.001G151500.1.v3.1	b34889_1	264501896	264509676	CDS:Zm00001d033497_T001
#3f	0.1077	0.0109	a31607_1	12175787	12181731	Sobic.001G151600.1.v3.1	b34889_1	264617980	264641764	CDS:Zm00001d033502_T001
#3f	0.1164	0.0332	a31607_1	12188138	12190501	Sobic.001G151800.3.v3.1	b34889_1	264690656	264693033	CDS:Zm00001d033503_T002
#3f	0.2083	0.0467	a31607_1	12195439	12191957	Sobic.001G151900.1.v3.1	b34889_1	264699011	264695702	CDS:Zm00001d033504_T001
#3f	0.1535	0.0220	a31607_1	12210726	12207496	Sobic.001G152000.2.v3.1	b34889_1	264705087	264701953	CDS:Zm00001d033505_T001
#3f	0.6305	0.0472	a31607_1	12267470	12268156	Sobic.001G152800.1.v3.1	b34889_1	264868119	264868793	CDS:Zm00001d033507_T001
#3f	0.9197	0.4069	a31607_1	12277291	12271408	Sobic.001G152901.1.v3.1	b34889_1	264936252	264932858	CDS:Zm00001d033508_T001
#3f	0.1235	0.0321	a31607_1	12322042	12325403	Sobic.001G153200.1.v3.1	b34889_1	265094739	265098144	CDS:Zm00001d033510_T001
#3f	12.4482	0.5315	a31607_1	12347322	12352661	Sobic.001G153600.1.v3.1	b34889_1	265465508	265458724	CDS:Zm00001d033518_T001
#4f	11.3872	0.2328	a31607_1	24426797	24427902	Sobic.001G237900.1.v3.1	b34889_1	241397579	241396542	CDS:Zm00001d032883_T001
#4f	0.4468	0.0936	a31607_1	24531014	24530658	Sobic.001G238600.1.v3.1	b34889_1	241512341	241511970	CDS:Zm00001d032887_T001
#4f	0.3196	0.0360	a31607_1	24537914	24539650	Sobic.001G238800.1.v3.1	b34889_1	241518188	241519665	CDS:Zm00001d032888_T001
#4f	0.2211	0.0466	a31607_1	24541934	24540469	Sobic.001G238900.1.v3.1	b34889_1	241521776	241520301	CDS:Zm00001d032889_T001
#4f	0.5450	0.1013	a31607_1	24603755	24602909	Sobic.001G239400.1.v3.1	b34889_1	241799021	241798325	CDS:Zm00001d032893_T001
#4f	0.1327	0.0441	a31607_1	24676047	24682802	Sobic.001G239800.1.v3.1	b34889_1	241894374	241913369	CDS:Zm00001d032894_T001
#4f	0.3580	0.0108	a31607_1	24692108	24692651	Sobic.001G240000.1.v3.1	b34889_1	242000847	242001486	CDS:Zm00001d032896_T001
#4f	0.4078	0.0324	a31607_1	24698258	24695791	Sobic.001G240100.2.v3.1	b34889_1	242039853	242037797	CDS:Zm00001d032897_T001
#4f	0.3770	0.0785	a31607_1	24706971	24705301	Sobic.001G240300.1.v3.1	b34889_1	242144203	242142443	CDS:Zm00001d032899_T001
#4f	0.3133	0.2033	a31607_1	24715077	24710604	Sobic.001G240400.1.v3.1	b34889_1	242212133	242207853	CDS:Zm00001d032901_T001
#4f	0.4848	0.0212	a31607_1	24769396	24771043	Sobic.001G240800.2.v3.1	b34889_1	242331745	242333319	CDS:Zm00001d032902_T001
#4f	0.4524	0.0588	a31607_1	24798120	24797371	Sobic.001G240900.1.v3.1	b34889_1	242399814	242399005	CDS:Zm00001d032903_T001
#4f	71.3223	0.5875	a31607_1	24802930	24802379	Sobic.001G241000.1.v3.1	b34889_1	242403993	242403453	CDS:Zm00001d032904_T001
#4f	0.1337	0.0327	a31607_1	24812599	24804683	Sobic.001G241100.1.v3.1	b34889_1	242412354	242404613	CDS:Zm00001d032905_T001
#4f	0.3091	0.0862	a31607_1	25026822	25021432	Sobic.001G242000.1.v3.1	b34889_1	242797577	242794262	CDS:Zm00001d032909_T001
#4f	0.3444	0.0579	a31607_1	25034983	25033597	Sobic.001G242100.1.v3.1	b34889_1	242885646	242884256	CDS:Zm00001d032911_T001
#4f	10.0628	1.1119	a31607_1	25075165	25082512	Sobic.001G242300.2.v3.1	b34889_1	242991649	242994254	CDS:Zm00001d032916_T001
#4f	0.4424	0.1983	a31607_1	25087003	25087706	Sobic.001G242500.1.v3.1	b34889_1	243021344	243024595	CDS:Zm00001d032917_T001
