block	ks	kn	org_chr1	start1	stop1	gene1	org_chr2	start2	stop2	gene2
#1f	0.1311	0.0303	a6807_1	16638135	16636039	Sb01g016520	b8082_1	221339091	221337157	GRMZM2G112242
#1f	0.5093	0.0905	a6807_1	16641737	16644477	Sb01g016530	b8082_1	221340402	221342701	GRMZM2G411041
#1f	0.1679	0.1242	a6807_1	16677077	16680375	Sb01g016540	b8082_1	221404361	221407420	GRMZM2G451506
#1f	0.1497	0.0271	a6807_1	16714895	16717171	Sb01g016560	b8082_1	221519636	221521906	GRMZM2G150030
#1f	0.4590	0.1075	a6807_1	16720706	16721728	Sb01g016570	b8082_1	221525845	221526867	GRMZM2G149946
#1f	0.3800	0.0876	a6807_1	16731693	16732526	Sb01g016580	b8082_1	221541808	221542398	GRMZM2G026406
#1f	63.3267	1.5062	a6807_1	16737366	16735450	Sb01g016590	b8082_1	221550735	221550490	GRMZM2G096303
#1f	0.7064	0.0725	a6807_1	16742643	16739972	Sb01g016600	b8082_1	221617541	221615993	GRMZM2G320269
#1f	0.6213	0.0563	a6807_1	16845149	16840974	Sb01g016720	b8082_1	221797309	221793322	GRMZM2G075247
#1f	0.3626	0.0488	a6807_1	16851295	16849399	Sb01g016730	b8082_1	221845739	221842086	GRMZM2G075229
#1f	0.2775	0.0925	a6807_1	16876988	16880372	Sb01g016750	b8082_1	221922702	221926581	GRMZM2G026020
#1f	0.2795	0.0309	a6807_1	16881212	16881844	Sb01g016760	b8082_1	221935967	221936575	GRMZM2G318882
#1f	0.2593	0.0227	a6807_1	16973520	16970818	Sb01g016780	b8082_1	221942734	221939418	GRMZM2G025855
#1f	NA	NA	a6807_1	16996158	16997643	Sb01g016810	b8082_1	221983214	221983923	GRMZM2G123896
#1f	0.2205	0.0203	a6807_1	17003516	17007420	Sb01g016820	b8082_1	221994211	221995581	GRMZM2G123884
#1f	62.1353	1.3781	a6807_1	17013461	17009144	Sb01g016826	b8082_1	222020561	222014915	GRMZM2G123791
#1f	0.1110	0.0154	a6807_1	17034598	17031250	Sb01g016840	b8082_1	222115470	222111856	GRMZM2G024145
#1f	NA	NA	a6807_1	17073184	17071539	Sb01g016880	b8082_1	222138456	222151098	GRMZM2G078154
#1f	66.3547	1.1291	a6807_1	17115611	17123574	Sb01g016910	b8082_1	222220865	222221767	GRMZM2G055431
#1f	0.1240	0.0113	a6807_1	17155239	17152377	Sb01g016960	b8082_1	222340730	222343691	GRMZM2G067638
#1f	0.4653	0.0393	a6807_1	17166990	17168585	Sb01g016970	b8082_1	222372125	222373639	GRMZM2G170982
#1f	0.1606	0.0331	a6807_1	17176076	17178799	Sb01g016980	b8082_1	222422284	222426068	GRMZM2G073510
#1f	0.0943	0.0279	a6807_1	17194754	17179928	Sb01g016990	b8082_1	222437268	222427156	GRMZM2G073399
#1f	NA	NA	a6807_1	17332021	17325957	Sb01g017100	b8082_1	222751821	222748776	GRMZM2G127608
#1f	0.1246	0.0274	a6807_1	17539932	17533900	Sb01g017140	b8082_1	223075931	223069505	GRMZM2G032222
#1f	0.3032	0.0279	a6807_1	17548525	17549698	Sb01g017150	b8082_1	223151473	223152644	GRMZM2G181231
#1f	0.1403	0.0997	a6807_1	17650693	17649338	Sb01g017226	b8082_1	223213222	223212857	GRMZM2G303132
#1f	0.2974	0.0183	a6807_1	17661737	17665687	Sb01g017230	b8082_1	223230767	223233519	GRMZM2G176209
#1f	NA	NA	a6807_1	17682543	17693488	Sb01g017240	b8082_1	223315962	223329447	GRMZM2G105770
#1f	0.1341	0.0090	a6807_1	17700549	17704536	Sb01g017250	b8082_1	223357098	223360175	GRMZM2G123624
#1f	72.8678	0.9773	a6807_1	17757203	17761504	Sb01g017270	b8082_1	223425233	223458737	AC210173
#1f	0.2631	0.1352	a6807_1	17794688	17784084	Sb01g017290	b8082_1	223472873	223466279	GRMZM2G703918
#1f	NA	NA	a6807_1	17816756	17811813	Sb01g017310	b8082_1	223631942	223624332	GRMZM2G031572
#1f	0.1458	0.0144	a6807_1	17832734	17838147	Sb01g017320	b8082_1	223640896	223645739	GRMZM2G031893
#1f	0.4012	0.0369	a6807_1	17868710	17869120	Sb01g017330	b8082_1	223760600	223760989	GRMZM2G414727
#1f	0.2965	0.0172	a6807_1	17876344	17873558	Sb01g017340	b8082_1	223766658	223764384	GRMZM2G114570
#1f	0.2091	0.0327	a6807_1	17880387	17881550	Sb01g017350	b8082_1	223805540	223806700	GRMZM2G172451
#1f	0.4825	0.2331	a6807_1	17884385	17882930	Sb01g017360	b8082_1	223809377	223808055	GRMZM2G475956
#1f	NA	NA	a6807_1	17893054	17890657	Sb01g017380	b8082_1	223833869	223832268	GRMZM2G082484
#1f	NA	NA	a6807_1	17992356	17991925	Sb01g017460	b8082_1	223911362	223909096	GRMZM2G063679
#1f	0.2693	0.1767	a6807_1	18016371	18017449	Sb01g017490	b8082_1	224074510	224076436	GRMZM2G016613
#1f	0.1784	0.1251	a6807_1	18020124	18020567	Sb01g017500	b8082_1	224154853	224155293	GRMZM2G414827
#1f	NA	NA	a6807_1	18025675	18026394	Sb01g017510	b8082_1	224157565	224165458	AC212023
#1f	61.5552	1.3360	a6807_1	18047895	18058084	Sb01g017540	b8082_1	224171752	224159188	GRMZM2G414848
#1f	NA	NA	a6807_1	18073432	18061301	Sb01g017550	b8082_1	224199500	224185598	GRMZM2G113062
